gene_id,chr,start,end,strand,TSS,TSS_10kb_start,TSS_10kb_end,TSS_20kb_start,TSS_20kb_end,TSS_50kb_start,TSS_50kb_end,TSS_100kb_start,TSS_100kb_end,chr_number,chr_coord_10kb,chr_coord_20kb,chr_coord_50kb,chr_coord_100kb
ern1,NC_007114.7,55423263,55478636,-,55478636,55468636,55488636,55458636,55498636,55428636,55528636,55378636,55578636,3,3-55468636-55488636,3-55458636-55498636,3-55428636-55528636,3-55378636-55578636
si:dkey-188h10.3,NC_007114.7,55482180,55483481,+,55482180,55472180,55492180,55462180,55502180,55432180,55532180,55382180,55582180,3,3-55472180-55492180,3-55462180-55502180,3-55432180-55532180,3-55382180-55582180
tex2,NC_007114.7,55487129,55536714,-,55536714,55526714,55546714,55516714,55556714,55486714,55586714,55436714,55636714,3,3-55526714-55546714,3-55516714-55556714,3-55486714-55586714,3-55436714-55636714
axin2,NC_007114.7,55631128,55650725,-,55650725,55640725,55660725,55630725,55670725,55600725,55700725,55550725,55750725,3,3-55640725-55660725,3-55630725-55670725,3-55600725-55700725,3-55550725-55750725
cep112,NC_007114.7,55684770,56030100,-,56030100,56020100,56040100,56010100,56050100,55980100,56080100,55930100,56130100,3,3-56020100-56040100,3-56010100-56050100,3-55980100-56080100,3-55930100-56130100
prkcab,NC_007114.7,56035767,56346995,+,56035767,56025767,56045767,56015767,56055767,55985767,56085767,55935767,56135767,3,3-56025767-56045767,3-56015767-56055767,3-55985767-56085767,3-55935767-56135767
cacng5b,NC_007114.7,56366428,56394139,+,56366428,56356428,56376428,56346428,56386428,56316428,56416428,56266428,56466428,3,3-56356428-56376428,3-56346428-56386428,3-56316428-56416428,3-56266428-56466428
rac1b,NC_007114.7,56574717,56594285,+,56574717,56564717,56584717,56554717,56594717,56524717,56624717,56474717,56674717,3,3-56564717-56584717,3-56554717-56594717,3-56524717-56624717,3-56474717-56674717
stk19,NC_007114.7,56601826,56617097,-,56617097,56607097,56627097,56597097,56637097,56567097,56667097,56517097,56717097,3,3-56607097-56627097,3-56597097-56637097,3-56567097-56667097,3-56517097-56717097
rnf213a,NC_007114.7,56699187,56813923,+,56699187,56689187,56709187,56679187,56719187,56649187,56749187,56599187,56799187,3,3-56689187-56709187,3-56679187-56719187,3-56649187-56749187,3-56599187-56799187
otop2,NC_007114.7,56850380,56915982,+,56850380,56840380,56860380,56830380,56870380,56800380,56900380,56750380,56950380,3,3-56840380-56860380,3-56830380-56870380,3-56800380-56900380,3-56750380-56950380
zgc:112148,NC_007114.7,56861112,56871330,-,56871330,56861330,56881330,56851330,56891330,56821330,56921330,56771330,56971330,3,3-56861330-56881330,3-56851330-56891330,3-56821330-56921330,3-56771330-56971330
amn,NC_007114.7,56876282,56877918,+,56876282,56866282,56886282,56856282,56896282,56826282,56926282,56776282,56976282,3,3-56866282-56886282,3-56856282-56896282,3-56826282-56926282,3-56776282-56976282
ush1ga,NC_007114.7,56885922,56896790,-,56896790,56886790,56906790,56876790,56916790,56846790,56946790,56796790,56996790,3,3-56886790-56906790,3-56876790-56916790,3-56846790-56946790,3-56796790-56996790
hid1a,NC_007114.7,56921476,56947170,-,56947170,56937170,56957170,56927170,56967170,56897170,56997170,56847170,57047170,3,3-56937170-56957170,3-56927170-56967170,3-56897170-56997170,3-56847170-57047170
fscn2a,NC_007114.7,57234093,57260975,+,57234093,57224093,57244093,57214093,57254093,57184093,57284093,57134093,57334093,3,3-57224093-57244093,3-57214093-57254093,3-57184093-57284093,3-57134093-57334093
socs3a,NC_007114.7,57423137,57425959,-,57425959,57415959,57435959,57405959,57445959,57375959,57475959,57325959,57525959,3,3-57415959-57435959,3-57405959-57445959,3-57375959-57475959,3-57325959-57525959
cyth1a,NC_007114.7,57462223,57578496,-,57578496,57568496,57588496,57558496,57598496,57528496,57628496,57478496,57678496,3,3-57568496-57588496,3-57558496-57598496,3-57528496-57628496,3-57478496-57678496
usp36,NC_007114.7,57583653,57630791,-,57630791,57620791,57640791,57610791,57650791,57580791,57680791,57530791,57730791,3,3-57620791-57640791,3-57610791-57650791,3-57580791-57680791,3-57530791-57730791
timp2b,NC_007114.7,57632965,57666518,-,57666518,57656518,57676518,57646518,57686518,57616518,57716518,57566518,57766518,3,3-57656518-57676518,3-57646518-57686518,3-57616518-57716518,3-57566518-57766518
cant1a,NC_007114.7,57747716,57765169,-,57765169,57755169,57775169,57745169,57785169,57715169,57815169,57665169,57865169,3,3-57755169-57775169,3-57745169-57785169,3-57715169-57815169,3-57665169-57865169
syngr2a,NC_007114.7,57766627,57779801,-,57779801,57769801,57789801,57759801,57799801,57729801,57829801,57679801,57879801,3,3-57769801-57789801,3-57759801-57799801,3-57729801-57829801,3-57679801-57879801
cenpx,NC_007114.7,57825938,57830026,+,57825938,57815938,57835938,57805938,57845938,57775938,57875938,57725938,57925938,3,3-57815938-57835938,3-57805938-57845938,3-57775938-57875938,3-57725938-57925938
notum1a,NC_007114.7,57949120,57979190,+,57949120,57939120,57959120,57929120,57969120,57899120,57999120,57849120,58049120,3,3-57939120-57959120,3-57929120-57969120,3-57899120-57999120,3-57849120-58049120
myadml2,NC_007114.7,57990451,57992254,+,57990451,57980451,58000451,57970451,58010451,57940451,58040451,57890451,58090451,3,3-57980451-58000451,3-57970451-58010451,3-57940451-58040451,3-57890451-58090451
pycr1a,NC_007114.7,57997975,58006138,+,57997975,57987975,58007975,57977975,58017975,57947975,58047975,57897975,58097975,3,3-57987975-58007975,3-57977975-58017975,3-57947975-58047975,3-57897975-58097975
si:ch211-256e16.4,NC_007114.7,58121739,58131302,+,58121739,58111739,58131739,58101739,58141739,58071739,58171739,58021739,58221739,3,3-58111739-58131739,3-58101739-58141739,3-58071739-58171739,3-58021739-58221739
si:ch211-256e16.3,NC_007114.7,58133255,58156921,+,58133255,58123255,58143255,58113255,58153255,58083255,58183255,58033255,58233255,3,3-58123255-58143255,3-58113255-58153255,3-58083255-58183255,3-58033255-58233255
snu13a,NC_007114.7,58158487,58165277,-,58165277,58155277,58175277,58145277,58185277,58115277,58215277,58065277,58265277,3,3-58155277-58175277,3-58145277-58185277,3-58115277-58215277,3-58065277-58265277
uqcrc2a,NC_007114.7,58167269,58185030,+,58167269,58157269,58177269,58147269,58187269,58117269,58217269,58067269,58267269,3,3-58157269-58177269,3-58147269-58187269,3-58117269-58217269,3-58067269-58267269
im:6904045,NC_007114.7,58221913,58226089,-,58226089,58216089,58236089,58206089,58246089,58176089,58276089,58126089,58326089,3,3-58216089-58236089,3-58206089-58246089,3-58176089-58276089,3-58126089-58326089
vwa3a,NC_007114.7,58300221,58372674,+,58300221,58290221,58310221,58280221,58320221,58250221,58350221,58200221,58400221,3,3-58290221-58310221,3-58280221-58320221,3-58250221-58350221,3-58200221-58400221
sdr42e2,NC_007114.7,58377061,58418555,+,58377061,58367061,58387061,58357061,58397061,58327061,58427061,58277061,58477061,3,3-58367061-58387061,3-58357061-58397061,3-58327061-58427061,3-58277061-58477061
cdr2a,NC_007114.7,58425107,58455271,-,58455271,58445271,58465271,58435271,58475271,58405271,58505271,58355271,58555271,3,3-58445271-58465271,3-58435271-58475271,3-58405271-58505271,3-58355271-58555271
si:ch211-165g14.1,NC_007114.7,58472335,58485698,+,58472335,58462335,58482335,58452335,58492335,58422335,58522335,58372335,58572335,3,3-58462335-58482335,3-58452335-58492335,3-58422335-58522335,3-58372335-58572335
dhrs7ca,NC_007114.7,58633692,58650023,-,58650023,58640023,58660023,58630023,58670023,58600023,58700023,58550023,58750023,3,3-58640023-58660023,3-58630023-58670023,3-58600023-58700023,3-58550023-58750023
luc7l3,NC_007114.7,58805790,58823763,-,58823763,58813763,58833763,58803763,58843763,58773763,58873763,58723763,58923763,3,3-58813763-58833763,3-58803763-58843763,3-58773763-58873763,3-58723763-58923763
rasd4,NC_007114.7,59051503,59053001,+,59051503,59041503,59061503,59031503,59071503,59001503,59101503,58951503,59151503,3,3-59041503-59061503,3-59031503-59071503,3-59001503-59101503,3-58951503-59151503
prpsap1,NC_007114.7,59070229,59083158,-,59083158,59073158,59093158,59063158,59103158,59033158,59133158,58983158,59183158,3,3-59073158-59093158,3-59063158-59103158,3-59033158-59133158,3-58983158-59183158
nptx1l,NC_007114.7,59454745,59523621,-,59523621,59513621,59533621,59503621,59543621,59473621,59573621,59423621,59623621,3,3-59513621-59533621,3-59503621-59543621,3-59473621-59573621,3-59423621-59623621
mcrip1,NC_007114.7,59864872,59876862,+,59864872,59854872,59874872,59844872,59884872,59814872,59914872,59764872,59964872,3,3-59854872-59874872,3-59844872-59884872,3-59814872-59914872,3-59764872-59964872
alyref,NC_007114.7,59880208,59890529,+,59880208,59870208,59890208,59860208,59900208,59830208,59930208,59780208,59980208,3,3-59870208-59890208,3-59860208-59900208,3-59830208-59930208,3-59780208-59980208
arhgdia,NC_007114.7,59899452,59947209,+,59899452,59889452,59909452,59879452,59919452,59849452,59949452,59799452,59999452,3,3-59889452-59909452,3-59879452-59919452,3-59849452-59949452,3-59799452-59999452
cdr2l,NC_007114.7,59951006,59981496,-,59981496,59971496,59991496,59961496,60001496,59931496,60031496,59881496,60081496,3,3-59971496-59991496,3-59961496-60001496,3-59931496-60031496,3-59881496-60081496
recql5,NC_007114.7,59986120,60027334,-,60027334,60017334,60037334,60007334,60047334,59977334,60077334,59927334,60127334,3,3-60017334-60037334,3-60007334-60047334,3-59977334-60077334,3-59927334-60127334
si:ch211-110e21.3,NC_007114.7,60007703,60016714,+,60007703,59997703,60017703,59987703,60027703,59957703,60057703,59907703,60107703,3,3-59997703-60017703,3-59987703-60027703,3-59957703-60057703,3-59907703-60107703
si:ch211-110e21.4,NC_007114.7,60034210,60037376,+,60034210,60024210,60044210,60014210,60054210,59984210,60084210,59934210,60134210,3,3-60024210-60044210,3-60014210-60054210,3-59984210-60084210,3-59934210-60134210
zgc:113030,NC_007114.7,60070009,60074792,+,60070009,60060009,60080009,60050009,60090009,60020009,60120009,59970009,60170009,3,3-60060009-60080009,3-60050009-60090009,3-60020009-60120009,3-59970009-60170009
zgc:174268,NC_007114.7,60082912,60108597,+,60082912,60072912,60092912,60062912,60102912,60032912,60132912,59982912,60182912,3,3-60072912-60092912,3-60062912-60102912,3-60032912-60132912,3-59982912-60182912
si:ch211-120g10.1,NC_007114.7,60126527,60142541,-,60142541,60132541,60152541,60122541,60162541,60092541,60192541,60042541,60242541,3,3-60132541-60152541,3-60122541-60162541,3-60092541-60192541,3-60042541-60242541
si:ch73-364h19.1,NC_007114.7,60146307,60175472,-,60175472,60165472,60185472,60155472,60195472,60125472,60225472,60075472,60275472,3,3-60165472-60185472,3-60155472-60195472,3-60125472-60225472,3-60075472-60275472
xylt2,NC_007114.7,60177773,60228359,+,60177773,60167773,60187773,60157773,60197773,60127773,60227773,60077773,60277773,3,3-60167773-60187773,3-60157773-60197773,3-60127773-60227773,3-60077773-60277773
si:ch211-214b16.2,NC_007114.7,60314191,60320115,-,60320115,60310115,60330115,60300115,60340115,60270115,60370115,60220115,60420115,3,3-60310115-60330115,3-60300115-60340115,3-60270115-60370115,3-60220115-60420115
si:ch211-214b16.3,NC_007114.7,60337975,60406192,-,60406192,60396192,60416192,60386192,60426192,60356192,60456192,60306192,60506192,3,3-60396192-60416192,3-60386192-60426192,3-60356192-60456192,3-60306192-60506192
si:ch73-366l1.5,NC_007114.7,60523494,60571218,-,60571218,60561218,60581218,60551218,60591218,60521218,60621218,60471218,60671218,3,3-60561218-60581218,3-60551218-60591218,3-60521218-60621218,3-60471218-60671218
jmjd6,NC_007114.7,60577513,60589538,-,60589538,60579538,60599538,60569538,60609538,60539538,60639538,60489538,60689538,3,3-60579538-60599538,3-60569538-60609538,3-60539538-60639538,3-60489538-60689538
mettl23,NC_007114.7,60589157,60592979,+,60589157,60579157,60599157,60569157,60609157,60539157,60639157,60489157,60689157,3,3-60579157-60599157,3-60569157-60609157,3-60539157-60639157,3-60489157-60689157
srsf2b,NC_007114.7,60594133,60602432,-,60602432,60592432,60612432,60582432,60622432,60552432,60652432,60502432,60702432,3,3-60592432-60612432,3-60582432-60622432,3-60552432-60652432,3-60502432-60702432
mfsd11,NC_007114.7,60603902,60624268,+,60603902,60593902,60613902,60583902,60623902,60553902,60653902,60503902,60703902,3,3-60593902-60613902,3-60583902-60623902,3-60553902-60653902,3-60503902-60703902
ubald2,NC_007114.7,60684909,60711127,-,60711127,60701127,60721127,60691127,60731127,60661127,60761127,60611127,60811127,3,3-60701127-60721127,3-60691127-60731127,3-60661127-60761127,3-60611127-60811127
foxj1a,NC_007114.7,60716912,60733252,+,60716912,60706912,60726912,60696912,60736912,60666912,60766912,60616912,60816912,3,3-60706912-60726912,3-60696912-60736912,3-60666912-60766912,3-60616912-60816912
tsen54,NC_007114.7,60761816,60798421,+,60761816,60751816,60771816,60741816,60781816,60711816,60811816,60661816,60861816,3,3-60751816-60771816,3-60741816-60781816,3-60711816-60811816,3-60661816-60861816
anks4b,NC_007114.7,60816128,60826990,-,60826990,60816990,60836990,60806990,60846990,60776990,60876990,60726990,60926990,3,3-60816990-60836990,3-60806990-60846990,3-60776990-60876990,3-60726990-60926990
helz,NC_007114.7,60957501,61035492,+,60957501,60947501,60967501,60937501,60977501,60907501,61007501,60857501,61057501,3,3-60947501-60967501,3-60937501-60977501,3-60907501-61007501,3-60857501-61057501
cacng1b,NC_007114.7,61039084,61065276,-,61065276,61055276,61075276,61045276,61085276,61015276,61115276,60965276,61165276,3,3-61055276-61075276,3-61045276-61085276,3-61015276-61115276,3-60965276-61165276
cacng4b,NC_007114.7,61077532,61098950,-,61098950,61088950,61108950,61078950,61118950,61048950,61148950,60998950,61198950,3,3-61088950-61108950,3-61078950-61118950,3-61048950-61148950,3-60998950-61198950
aimp2,NC_007114.7,61108356,61116295,-,61116295,61106295,61126295,61096295,61136295,61066295,61166295,61016295,61216295,3,3-61106295-61126295,3-61096295-61136295,3-61066295-61166295,3-61016295-61216295
pvalb8,NC_007114.7,61154219,61162750,-,61162750,61152750,61172750,61142750,61182750,61112750,61212750,61062750,61262750,3,3-61152750-61172750,3-61142750-61182750,3-61112750-61212750,3-61062750-61262750
pvalb4,NC_007114.7,61176078,61185731,-,61185731,61175731,61195731,61165731,61205731,61135731,61235731,61085731,61285731,3,3-61175731-61195731,3-61165731-61205731,3-61135731-61235731,3-61085731-61285731
pvalb1,NC_007114.7,61193890,61205706,-,61205706,61195706,61215706,61185706,61225706,61155706,61255706,61105706,61305706,3,3-61195706-61215706,3-61185706-61225706,3-61155706-61255706,3-61105706-61305706
pvalb5,NC_007114.7,61209213,61218286,-,61218286,61208286,61228286,61198286,61238286,61168286,61268286,61118286,61318286,3,3-61208286-61228286,3-61198286-61238286,3-61168286-61268286,3-61118286-61318286
lmtk2,NC_007114.7,61221143,61288714,+,61221143,61211143,61231143,61201143,61241143,61171143,61271143,61121143,61321143,3,3-61211143-61231143,3-61201143-61241143,3-61171143-61271143,3-61121143-61321143
tecpr1b,NC_007114.7,61289812,61336810,-,61336810,61326810,61346810,61316810,61356810,61286810,61386810,61236810,61436810,3,3-61326810-61346810,3-61316810-61356810,3-61286810-61386810,3-61236810-61436810
bri3,NC_007114.7,61391580,61398936,+,61391580,61381580,61401580,61371580,61411580,61341580,61441580,61291580,61491580,3,3-61381580-61401580,3-61371580-61411580,3-61341580-61441580,3-61291580-61491580
baiap2l1b,NC_007114.7,61401306,61494860,-,61494860,61484860,61504860,61474860,61514860,61444860,61544860,61394860,61594860,3,3-61484860-61504860,3-61474860-61514860,3-61444860-61544860,3-61394860-61594860
zgc:113295,NC_007114.7,61538054,61543966,+,61538054,61528054,61548054,61518054,61558054,61488054,61588054,61438054,61638054,3,3-61528054-61548054,3-61518054-61558054,3-61488054-61588054,3-61438054-61638054
nptx2a,NC_007114.7,61566115,61593717,-,61593717,61583717,61603717,61573717,61613717,61543717,61643717,61493717,61693717,3,3-61583717-61603717,3-61573717-61613717,3-61543717-61643717,3-61493717-61693717
fam20ca,NC_007114.7,61896094,61974544,+,61896094,61886094,61906094,61876094,61916094,61846094,61946094,61796094,61996094,3,3-61886094-61906094,3-61876094-61916094,3-61846094-61946094,3-61796094-61996094
rai1,NC_007114.7,62001788,62051353,+,62001788,61991788,62011788,61981788,62021788,61951788,62051788,61901788,62101788,3,3-61991788-62011788,3-61981788-62021788,3-61951788-62051788,3-61901788-62101788
srebf1,NC_007114.7,62061261,62087346,-,62087346,62077346,62097346,62067346,62107346,62037346,62137346,61987346,62187346,3,3-62077346-62097346,3-62067346-62107346,3-62037346-62137346,3-61987346-62187346
drc3,NC_007114.7,62126981,62138957,+,62126981,62116981,62136981,62106981,62146981,62076981,62176981,62026981,62226981,3,3-62116981-62136981,3-62106981-62146981,3-62076981-62176981,3-62026981-62226981
noxo1a,NC_007114.7,62161184,62168290,+,62161184,62151184,62171184,62141184,62181184,62111184,62211184,62061184,62261184,3,3-62151184-62171184,3-62141184-62181184,3-62111184-62211184,3-62061184-62261184
tbl3,NC_007114.7,62173159,62194652,-,62194652,62184652,62204652,62174652,62214652,62144652,62244652,62094652,62294652,3,3-62184652-62204652,3-62174652-62214652,3-62144652-62244652,3-62094652-62294652
sco1,NC_007114.7,62196672,62203711,+,62196672,62186672,62206672,62176672,62216672,62146672,62246672,62096672,62296672,3,3-62186672-62206672,3-62176672-62216672,3-62146672-62246672,3-62096672-62296672
znf1024,NC_007114.7,62204460,62211275,+,62204460,62194460,62214460,62184460,62224460,62154460,62254460,62104460,62304460,3,3-62194460-62214460,3-62184460-62224460,3-62154460-62254460,3-62104460-62304460
zgc:173575,NC_007114.7,62255388,62298416,+,62255388,62245388,62265388,62235388,62275388,62205388,62305388,62155388,62355388,3,3-62245388-62265388,3-62235388-62275388,3-62205388-62305388,3-62155388-62355388
zgc:174624,NC_007114.7,62269977,62276459,+,62269977,62259977,62279977,62249977,62289977,62219977,62319977,62169977,62369977,3,3-62259977-62279977,3-62249977-62289977,3-62219977-62319977,3-62169977-62369977
znf1124,NC_007114.7,62317990,62324800,+,62317990,62307990,62327990,62297990,62337990,62267990,62367990,62217990,62417990,3,3-62307990-62327990,3-62297990-62337990,3-62267990-62367990,3-62217990-62417990
iqck,NC_007114.7,62353445,62360834,+,62353445,62343445,62363445,62333445,62373445,62303445,62403445,62253445,62453445,3,3-62343445-62363445,3-62333445-62373445,3-62303445-62403445,3-62253445-62453445
gprc5ba,NC_007114.7,62367303,62380249,-,62380249,62370249,62390249,62360249,62400249,62330249,62430249,62280249,62480249,3,3-62370249-62390249,3-62360249-62400249,3-62330249-62430249,3-62280249-62480249
proza,NC_007114.7,62382661,62393457,-,62393457,62383457,62403457,62373457,62413457,62343457,62443457,62293457,62493457,3,3-62383457-62403457,3-62373457-62413457,3-62343457-62443457,3-62293457-62493457
sox8b,NC_007114.7,62397711,62403516,-,62403516,62393516,62413516,62383516,62423516,62353516,62453516,62303516,62503516,3,3-62393516-62413516,3-62383516-62423516,3-62353516-62453516,3-62303516-62503516
sstr2b,NC_007114.7,62416329,62418956,-,62418956,62408956,62428956,62398956,62438956,62368956,62468956,62318956,62518956,3,3-62408956-62428956,3-62398956-62438956,3-62368956-62468956,3-62318956-62518956
sox9b,NC_007114.7,62522542,62527667,-,62527667,62517667,62537667,62507667,62547667,62477667,62577667,62427667,62627667,3,3-62517667-62537667,3-62507667-62547667,3-62477667-62577667,3-62427667-62627667
ptpn12,NC_007115.7,17307,20765,-,20765,10765,30765,765,40765,0,70765,0,120765,4,4-10765-30765,4-765-40765,4-0-70765,4-0-120765
phtf2,NC_007115.7,31235,46252,+,31235,21235,41235,11235,51235,0,81235,0,131235,4,4-21235-41235,4-11235-51235,4-0-81235,4-0-131235
si:zfos-932h1.3,NC_007115.7,56667,62069,-,62069,52069,72069,42069,82069,12069,112069,0,162069,4,4-52069-72069,4-42069-82069,4-12069-112069,4-0-162069
mansc1,NC_007115.7,66512,73154,+,66512,56512,76512,46512,86512,16512,116512,0,166512,4,4-56512-76512,4-46512-86512,4-16512-116512,4-0-166512
lrp6,NC_007115.7,74609,100007,+,74609,64609,84609,54609,94609,24609,124609,0,174609,4,4-64609-84609,4-54609-94609,4-24609-124609,4-0-174609
dusp16,NC_007115.7,107287,119689,-,119689,109689,129689,99689,139689,69689,169689,19689,219689,4,4-109689-129689,4-99689-139689,4-69689-169689,4-19689-219689
crebl2,NC_007115.7,121709,125404,+,121709,111709,131709,101709,141709,71709,171709,21709,221709,4,4-111709-131709,4-101709-141709,4-71709-171709,4-21709-221709
gpr19,NC_007115.7,126435,133552,-,133552,123552,143552,113552,153552,83552,183552,33552,233552,4,4-123552-143552,4-113552-153552,4-83552-183552,4-33552-233552
tbk1,NC_007115.7,134412,149334,-,149334,139334,159334,129334,169334,99334,199334,49334,249334,4,4-139334-159334,4-129334-169334,4-99334-199334,4-49334-249334
eps8a,NC_007115.7,151505,178510,-,178510,168510,188510,158510,198510,128510,228510,78510,278510,4,4-168510-188510,4-158510-198510,4-128510-228510,4-78510-278510
ptpro,NC_007115.7,183687,211904,-,211904,201904,221904,191904,231904,161904,261904,111904,311904,4,4-201904-221904,4-191904-231904,4-161904-261904,4-111904-311904
si:ch73-252i11.1,NC_007115.7,269443,306664,-,306664,296664,316664,286664,326664,256664,356664,206664,406664,4,4-296664-316664,4-286664-326664,4-256664-356664,4-206664-406664
echdc3,NC_007115.7,286424,287475,-,287475,277475,297475,267475,307475,237475,337475,187475,387475,4,4-277475-297475,4-267475-307475,4-237475-337475,4-187475-387475
msgn1,NC_007115.7,306283,308006,+,306283,296283,316283,286283,326283,256283,356283,206283,406283,4,4-296283-316283,4-286283-326283,4-256283-356283,4-206283-406283
si:ch211-51e12.7,NC_007115.7,308657,323471,+,308657,298657,318657,288657,328657,258657,358657,208657,408657,4,4-298657-318657,4-288657-328657,4-258657-358657,4-208657-408657
mrps10,NC_007115.7,325031,330728,-,330728,320728,340728,310728,350728,280728,380728,230728,430728,4,4-320728-340728,4-310728-350728,4-280728-380728,4-230728-430728
tulp4a,NC_007115.7,331433,356196,+,331433,321433,341433,311433,351433,281433,381433,231433,431433,4,4-321433-341433,4-311433-351433,4-281433-381433,4-231433-431433
tmem181,NC_007115.7,357810,386170,+,357810,347810,367810,337810,377810,307810,407810,257810,457810,4,4-347810-367810,4-337810-377810,4-307810-407810,4-257810-457810
rpl18a,NC_007115.7,391360,397928,+,391360,381360,401360,371360,411360,341360,441360,291360,491360,4,4-381360-401360,4-371360-411360,4-341360-441360,4-291360-491360
pthlha,NC_007115.7,400361,629093,+,400361,390361,410361,380361,420361,350361,450361,300361,500361,4,4-390361-410361,4-380361-420361,4-350361-450361,4-300361-500361
xpot,NC_007115.7,646113,675418,+,646113,636113,656113,626113,666113,596113,696113,546113,746113,4,4-636113-656113,4-626113-666113,4-596113-696113,4-546113-746113
rtcb,NC_007115.7,676710,685412,-,685412,675412,695412,665412,705412,635412,735412,585412,785412,4,4-675412-695412,4-665412-705412,4-635412-735412,4-585412-785412
fbxo7,NC_007115.7,686132,700697,+,686132,676132,696132,666132,706132,636132,736132,586132,786132,4,4-676132-696132,4-666132-706132,4-636132-736132,4-586132-786132
ost4,NC_007115.7,736390,737528,+,736390,726390,746390,716390,756390,686390,786390,636390,836390,4,4-726390-746390,4-716390-756390,4-686390-786390,4-636390-836390
agbl5,NC_007115.7,737539,760586,-,760586,750586,770586,740586,780586,710586,810586,660586,860586,4,4-750586-770586,4-740586-780586,4-710586-810586,4-660586-860586
tmem214,NC_007115.7,764100,779592,-,779592,769592,789592,759592,799592,729592,829592,679592,879592,4,4-769592-789592,4-759592-799592,4-729592-829592,4-679592-879592
mapre3b,NC_007115.7,783643,797875,-,797875,787875,807875,777875,817875,747875,847875,697875,897875,4,4-787875-807875,4-777875-817875,4-747875-847875,4-697875-897875
dpysl5b,NC_007115.7,798700,815900,-,815900,805900,825900,795900,835900,765900,865900,715900,915900,4,4-805900-825900,4-795900-835900,4-765900-865900,4-715900-915900
sobpb,NC_007115.7,817095,859296,-,859296,849296,869296,839296,879296,809296,909296,759296,959296,4,4-849296-869296,4-839296-879296,4-809296-909296,4-759296-959296
si:ch211-152c2.3,NC_007115.7,841999,845034,+,841999,831999,851999,821999,861999,791999,891999,741999,941999,4,4-831999-851999,4-821999-861999,4-791999-891999,4-741999-941999
crybg1b,NC_007115.7,861716,898929,-,898929,888929,908929,878929,918929,848929,948929,798929,998929,4,4-888929-908929,4-878929-918929,4-848929-948929,4-798929-998929
mrap2b,NC_007115.7,900494,908947,-,908947,898947,918947,888947,928947,858947,958947,808947,1008947,4,4-898947-918947,4-888947-928947,4-858947-958947,4-808947-1008947
ripply2,NC_007115.7,912563,914738,+,912563,902563,922563,892563,932563,862563,962563,812563,1012563,4,4-902563-922563,4-892563-932563,4-862563-962563,4-812563-1012563
sim1b,NC_007115.7,926991,948911,-,948911,938911,958911,928911,968911,898911,998911,848911,1048911,4,4-938911-958911,4-928911-968911,4-898911-998911,4-848911-1048911
atp23,NC_007115.7,958821,965458,-,965458,955458,975458,945458,985458,915458,1015458,865458,1065458,4,4-955458-975458,4-945458-985458,4-915458-1015458,4-865458-1065458
rpap3,NC_007115.7,966061,983242,+,966061,956061,976061,946061,986061,916061,1016061,866061,1066061,4,4-956061-976061,4-946061-986061,4-916061-1016061,4-866061-1066061
naga,NC_007115.7,985960,992148,-,992148,982148,1002148,972148,1012148,942148,1042148,892148,1092148,4,4-982148-1002148,4-972148-1012148,4-942148-1042148,4-892148-1092148
mtpn,NC_007115.7,1054708,1147946,-,1147946,1137946,1157946,1127946,1167946,1097946,1197946,1047946,1247946,4,4-1137946-1157946,4-1127946-1167946,4-1097946-1197946,4-1047946-1247946
chrm2a,NC_007115.7,1146346,1299743,+,1146346,1136346,1156346,1126346,1166346,1096346,1196346,1046346,1246346,4,4-1136346-1156346,4-1126346-1166346,4-1096346-1196346,4-1046346-1246346
ptn,NC_007115.7,1301470,1360495,-,1360495,1350495,1370495,1340495,1380495,1310495,1410495,1260495,1460495,4,4-1350495-1370495,4-1340495-1380495,4-1310495-1410495,4-1260495-1460495
trim35-14,NC_007115.7,1461334,1466133,+,1461334,1451334,1471334,1441334,1481334,1411334,1511334,1361334,1561334,4,4-1451334-1471334,4-1441334-1481334,4-1411334-1511334,4-1361334-1561334
slc38a4,NC_007115.7,1516674,1566572,+,1516674,1506674,1526674,1496674,1536674,1466674,1566674,1416674,1616674,4,4-1506674-1526674,4-1496674-1536674,4-1466674-1566674,4-1416674-1616674
slc38a2,NC_007115.7,1600300,1617897,+,1600300,1590300,1610300,1580300,1620300,1550300,1650300,1500300,1700300,4,4-1590300-1610300,4-1580300-1620300,4-1550300-1650300,4-1500300-1700300
scaf11,NC_007115.7,1619574,1640356,+,1619574,1609574,1629574,1599574,1639574,1569574,1669574,1519574,1719574,4,4-1609574-1629574,4-1599574-1639574,4-1569574-1669574,4-1519574-1719574
arid2,NC_007115.7,1647096,1684400,-,1684400,1674400,1694400,1664400,1704400,1634400,1734400,1584400,1784400,4,4-1674400-1694400,4-1664400-1704400,4-1634400-1734400,4-1584400-1784400
gas2l3,NC_007115.7,1686621,1720648,-,1720648,1710648,1730648,1700648,1740648,1670648,1770648,1620648,1820648,4,4-1710648-1730648,4-1700648-1740648,4-1670648-1770648,4-1620648-1820648
fgfr1op2,NC_007115.7,1722899,1730920,+,1722899,1712899,1732899,1702899,1742899,1672899,1772899,1622899,1822899,4,4-1712899-1732899,4-1702899-1742899,4-1672899-1772899,4-1622899-1822899
tm7sf3,NC_007115.7,1732831,1757426,-,1757426,1747426,1767426,1737426,1777426,1707426,1807426,1657426,1857426,4,4-1747426-1767426,4-1737426-1777426,4-1707426-1807426,4-1657426-1857426
